year, ccode1, ccode2, deal_announce, deal_complete, deal_complete_assumed, deal_pend, deal_withdrawn, total
1997, GB, DE, 0, 27, 0, 0, 1, 28
1998, GB, DE, 0, 74, 0, 0, 1, 75
1999, GB, DE, 0, 104, 0, 0, 0, 104
2000, GB, DE, 0, 105, 1, 0, 1, 107
2001, GB, DE, 0, 80, 0, 0, 2, 82
2002, GB, DE, 0, 47, 17, 0, 1, 65
2003, GB, DE, 0, 49, 13, 0, 0, 62
2004, GB, DE, 0, 54, 14, 0, 0, 68
2005, GB, DE, 0, 61, 6, 0, 0, 67
2006, GB, DE, 0, 46, 13, 0, 0, 59
2007, GB, DE, 0, 57, 8, 0, 2, 67
2008, GB, DE, 0, 60, 7, 0, 1, 68
2009, GB, DE, 0, 37, 11, 0, 1, 49
2010, GB, DE, 0, 34, 10, 0, 0, 44
2011, GB, DE, 0, 42, 3, 0, 0, 45
2012, GB, DE, 0, 48, 4, 0, 0, 52
2013, GB, DE, 0, 55, 3, 0, 0, 58
2014, GB, DE, 0, 60, 11, 0, 0, 71
2015, GB, DE, 0, 192, 4, 0, 0, 196
2016, GB, DE, 1, 212, 6, 0, 1, 220
2017, GB, DE, 2, 283, 21, 3, 1, 310
2018, GB, DE, 7, 183, 8, 6, 0, 204
1997, GB, IE, 0, 11, 0, 0, 0, 11
1998, GB, IE, 0, 11, 0, 0, 0, 11
1999, GB, IE, 0, 22, 0, 0, 0, 22
2000, GB, IE, 0, 26, 0, 0, 0, 26
2001, GB, IE, 0, 43, 0, 0, 0, 43
2002, GB, IE, 0, 32, 5, 0, 0, 37
2003, GB, IE, 0, 29, 4, 0, 1, 34
2004, GB, IE, 0, 44, 3, 0, 0, 47
2005, GB, IE, 0, 47, 4, 0, 0, 51
2006, GB, IE, 0, 60, 8, 0, 0, 68
2007, GB, IE, 0, 42, 7, 0, 0, 49
2008, GB, IE, 0, 16, 6, 0, 0, 22
2009, GB, IE, 0, 31, 3, 0, 0, 34
2010, GB, IE, 0, 26, 1, 0, 0, 27
2011, GB, IE, 0, 26, 5, 0, 1, 32
2012, GB, IE, 0, 23, 6, 0, 0, 29
2013, GB, IE, 0, 22, 1, 0, 3, 26
2014, GB, IE, 0, 29, 6, 0, 0, 35
2015, GB, IE, 0, 25, 6, 0, 0, 31
2016, GB, IE, 0, 20, 4, 0, 1, 25
2017, GB, IE, 5, 21, 1, 0, 0, 27
2018, GB, IE, 3, 12, 0, 1, 0, 16
1997, GB, GB, 0, 41, 0, 0, 0, 41
1998, GB, GB, 0, 62, 0, 0, 0, 62
1999, GB, GB, 0, 119, 0, 0, 1, 120
2000, GB, GB, 0, 268, 0, 0, 3, 271
2001, GB, GB, 0, 212, 0, 0, 2, 214
2002, GB, GB, 0, 166, 29, 0, 0, 195
2003, GB, GB, 0, 162, 21, 0, 1, 184
2004, GB, GB, 0, 184, 16, 0, 2, 202
2005, GB, GB, 0, 206, 31, 0, 3, 240
2006, GB, GB, 0, 228, 22, 0, 1, 251
2007, GB, GB, 0, 268, 29, 0, 3, 300
2008, GB, GB, 0, 189, 36, 0, 1, 226
2009, GB, GB, 0, 189, 31, 0, 3, 223
2010, GB, GB, 0, 238, 38, 0, 1, 277
2011, GB, GB, 0, 273, 24, 0, 0, 297
2012, GB, GB, 0, 298, 23, 0, 10, 331
2013, GB, GB, 0, 365, 42, 0, 1, 408
2014, GB, GB, 0, 474, 50, 0, 2, 526
2015, GB, GB, 1, 512, 60, 0, 0, 573
2016, GB, GB, 5, 494, 59, 2, 8, 568
2017, GB, GB, 24, 587, 57, 14, 6, 688
2018, GB, GB, 19, 336, 42, 6, 1, 404
1997, GB, NL, 0, 27, 0, 0, 0, 27
1998, GB, NL, 0, 40, 0, 0, 0, 40
1999, GB, NL, 0, 39, 0, 0, 1, 40
2000, GB, NL, 0, 52, 0, 0, 0, 52
2001, GB, NL, 0, 39, 0, 0, 1, 40
2002, GB, NL, 0, 27, 8, 0, 0, 35
2003, GB, NL, 0, 24, 3, 0, 1, 28
2004, GB, NL, 0, 34, 8, 0, 2, 44
2005, GB, NL, 0, 40, 4, 0, 0, 44
2006, GB, NL, 0, 55, 6, 0, 0, 61
2007, GB, NL, 0, 42, 2, 0, 0, 44
2008, GB, NL, 0, 43, 5, 0, 0, 48
2009, GB, NL, 0, 18, 9, 0, 0, 27
2010, GB, NL, 0, 26, 5, 0, 0, 31
2011, GB, NL, 0, 26, 10, 0, 0, 36
2012, GB, NL, 0, 27, 6, 0, 0, 33
2013, GB, NL, 1, 42, 7, 0, 1, 51
2014, GB, NL, 0, 50, 7, 0, 0, 57
2015, GB, NL, 0, 62, 5, 0, 0, 67
2016, GB, NL, 4, 74, 1, 1, 0, 80
2017, GB, NL, 2, 117, 9, 4, 0, 132
2018, GB, NL, 7, 72, 9, 3, 0, 91
1997, GB, BE, 0, 10, 0, 0, 0, 10
1998, GB, BE, 0, 20, 0, 0, 1, 21
1999, GB, BE, 0, 18, 0, 0, 0, 18
2000, GB, BE, 0, 20, 0, 0, 0, 20
2001, GB, BE, 0, 17, 0, 0, 0, 17
2002, GB, BE, 0, 13, 5, 0, 0, 18
2003, GB, BE, 0, 15, 0, 0, 0, 15
2004, GB, BE, 0, 19, 2, 0, 0, 21
2005, GB, BE, 0, 14, 3, 0, 0, 17
2006, GB, BE, 0, 15, 2, 0, 0, 17
2007, GB, BE, 0, 16, 1, 0, 0, 17
2008, GB, BE, 0, 6, 3, 0, 1, 10
2009, GB, BE, 0, 14, 1, 0, 1, 16
2010, GB, BE, 0, 7, 1, 0, 0, 8
2011, GB, BE, 0, 4, 1, 0, 0, 5
2012, GB, BE, 0, 7, 0, 0, 0, 7
2013, GB, BE, 0, 9, 2, 0, 0, 11
2014, GB, BE, 0, 7, 1, 0, 0, 8
2015, GB, BE, 0, 9, 2, 0, 0, 11
2016, GB, BE, 0, 18, 1, 0, 0, 19
2017, GB, BE, 0, 27, 7, 0, 0, 34
2018, GB, BE, 1, 15, 2, 0, 0, 18
1997, GB, US, 0, 102, 0, 0, 3, 105
1998, GB, US, 